uri,artist,name,popularity,release_date,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:7oK9VyNzrYvRFo7nQEYkWN,The Killers,Mr. Brightside,77,2004-06-15,2019-06-17 17:36:02+00:00,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587,4
spotify:track:6b2oQwSGFkzsMtQruIWm2p,Radiohead,Creep,82,1993-02-22,2019-06-17 17:36:11+00:00,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,238640,4
spotify:track:0n2pjCIMKwHSXoYfEbYMfX,Stevie Wonder,You Are The Sunshine Of My Life,70,1972-10-28,2019-06-17 17:36:23+00:00,0.519,0.46,11,-14.53,1,0.0688,0.823,5.97e-05,0.243,0.675,132.082,178200,4
spotify:track:3M8FzayQWtkvOhqMn2V4T2,Bill Withers,Lean on Me,69,1972-05-01,2019-06-17 17:36:32+00:00,0.619,0.22,0,-13.843,1,0.0667,0.782,1.19e-05,0.124,0.423,75.16,258835,4
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),80,1987-06-02,2019-06-17 17:36:42+00:00,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,291293,4
spotify:track:2nGFzvICaeEWjIrBrL2RAx,Corinne Bailey Rae,Put Your Records On,75,2006-01-01,2019-06-17 17:36:54+00:00,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,215360,4
spotify:track:4zQuwW24dweWcaX0fEJkP2,Amy Winehouse,You Know I'm No Good,73,2006-01-01,2019-06-17 17:37:05+00:00,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,256947,4
spotify:track:3NfxSdJnVdon1axzloJgba,Aretha Franklin,I Say a Little Prayer,75,1968-06-14,2019-06-17 17:37:18+00:00,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03,216773,4
spotify:track:6yLX8QnxlnEqZfs3YKCfjF,Amy Winehouse,Tears Dry On Their Own,71,2006-01-01,2019-06-17 17:37:28+00:00,0.643,0.871,1,-2.734,0,0.118,0.491,0.0,0.29,0.452,121.569,185187,4
spotify:track:2SpEHTbUuebeLkgs9QB7Ue,Dolly Parton,Jolene,74,1974-02-04,2019-06-17 17:37:35+00:00,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,161533,4
spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,Madonna,Like a Prayer,71,2009-09-18,2019-06-17 17:37:44+00:00,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,342680,4
spotify:track:4twhYPDyCP6ICeW3TtQVxP,Minnie Riperton,Lovin' You,57,1993-01-01,2019-06-17 17:37:57+00:00,0.392,0.213,9,-12.494,1,0.0415,0.903,1.01e-06,0.12,0.312,100.518,203507,3
spotify:track:1Jj6MF0xDOMA3Ut2Z368Bx,Cyndi Lauper,Time After Time,72,2014-03-28,2019-06-17 17:38:12+00:00,0.724,0.436,0,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,243067,4
